lesson_id,chapter,lesson_title,lesson_type,source_yaml,source_tex,output_pdf,page_count,total_minutes,figure_count,exercise_count,status,sha256
C01-L01,第一章 有理数,正数和负数,概念形成课,output/lesson_plans_final/yaml/C01-L01_正数和负数.yml,output/lesson_plans_final/tex/C01-L01_正数和负数_教案_v2.tex,output/lesson_plans_final/pdf/C01-L01_正数和负数_教案_v2.pdf,4,45,0,13,generated,AAF04A0A70AC0DBD3C67B8024352B5C7177D2FAF194DE7660790AADD179768C3
C01-L02,第一章 有理数,有理数的概念与分类,概念形成课,output/lesson_plans_final/yaml/C01-L02_有理数的概念与分类.yml,output/lesson_plans_final/tex/C01-L02_有理数的概念与分类_教案_v2.tex,output/lesson_plans_final/pdf/C01-L02_有理数的概念与分类_教案_v2.pdf,4,45,0,13,generated,856A7ACFB30188AE06EE2C72E49A1FA0A2B41075005AF9C3A76D5AB80AB54185
C01-L03,第一章 有理数,数轴,概念形成课,output/lesson_plans_final/yaml/C01-L03_数轴.yml,output/lesson_plans_final/tex/C01-L03_数轴_教案_v2.tex,output/lesson_plans_final/pdf/C01-L03_数轴_教案_v2.pdf,4,45,3,11,approved,E081CC01273A9585E337047406C9BFCE4C34AC163A94783A53A1E001F59F0352
C01-L04,第一章 有理数,相反数与绝对值,运算技能课,output/lesson_plans_final/yaml/C01-L04_相反数与绝对值.yml,output/lesson_plans_final/tex/C01-L04_相反数与绝对值_教案_v2.tex,output/lesson_plans_final/pdf/C01-L04_相反数与绝对值_教案_v2.pdf,4,45,1,13,generated,94801ACEBE59682EDD4427B8537DBE42C708F1B83A2FD993ABCCA65B2ECE220D
C01-L05,第一章 有理数,有理数的大小比较,概念形成课,output/lesson_plans_final/yaml/C01-L05_有理数的大小比较.yml,output/lesson_plans_final/tex/C01-L05_有理数的大小比较_教案_v2.tex,output/lesson_plans_final/pdf/C01-L05_有理数的大小比较_教案_v2.pdf,4,45,1,13,generated,0458C1798017F471CFEE25A6074B78258B9952C980D51F5C415AEB9B3931BE2F
C01-L06,第一章 有理数,有理数数学活动,数学活动课,output/lesson_plans_final/yaml/C01-L06_有理数数学活动.yml,output/lesson_plans_final/tex/C01-L06_有理数数学活动_教案_v2.tex,output/lesson_plans_final/pdf/C01-L06_有理数数学活动_教案_v2.pdf,4,45,0,13,generated,F7FEFEE2F9F409C8645945C2C293D3D7E5CCE78FA7D1463DC1F82D536A4E906B
C01-L07,第一章 有理数,有理数章末小结与复习,章末复习课,output/lesson_plans_final/yaml/C01-L07_有理数章末小结与复习.yml,output/lesson_plans_final/tex/C01-L07_有理数章末小结与复习_教案_v2.tex,output/lesson_plans_final/pdf/C01-L07_有理数章末小结与复习_教案_v2.pdf,4,45,1,13,generated,147A3B8DAEF0FF602F8016B62C0B8325217096EB20FE00946FE89DF8C56A9D8B
C02-L01,第二章 有理数的运算,有理数加法法则,运算技能课,output/lesson_plans_final/yaml/C02-L01_有理数加法法则.yml,output/lesson_plans_final/tex/C02-L01_有理数加法法则_教案_v2.tex,output/lesson_plans_final/pdf/C02-L01_有理数加法法则_教案_v2.pdf,4,45,1,13,generated,797215C38B44BB95EC1386AAD2C3BA32A25001515643B8C96A8CD18336109FEE
C02-L02,第二章 有理数的运算,有理数加法运算律与应用,应用建模课,output/lesson_plans_final/yaml/C02-L02_有理数加法运算律与应用.yml,output/lesson_plans_final/tex/C02-L02_有理数加法运算律与应用_教案_v2.tex,output/lesson_plans_final/pdf/C02-L02_有理数加法运算律与应用_教案_v2.pdf,4,45,0,13,generated,7A2AAC0B90800F043032DA1503FAE873AD4388B0F094C71F5C923930CA2CD31A
C02-L03,第二章 有理数的运算,有理数减法法则,运算技能课,output/lesson_plans_final/yaml/C02-L03_有理数减法法则.yml,output/lesson_plans_final/tex/C02-L03_有理数减法法则_教案_v2.tex,output/lesson_plans_final/pdf/C02-L03_有理数减法法则_教案_v2.pdf,4,45,0,13,generated,1CACF262FD23E76A1A452EC5AEF4305CE06D12E7914D93898E3C1DBFB704992A
C02-L04,第二章 有理数的运算,有理数加减混合运算,运算技能课,output/lesson_plans_final/yaml/C02-L04_有理数加减混合运算.yml,output/lesson_plans_final/tex/C02-L04_有理数加减混合运算_教案_v2.tex,output/lesson_plans_final/pdf/C02-L04_有理数加减混合运算_教案_v2.pdf,4,45,0,13,generated,6E977B0E472D90CA4F11966539EBF9BE94D3F6DD7C3BEAFCE53AB6A7B840D5CA
C02-L05,第二章 有理数的运算,有理数乘法法则,运算技能课,output/lesson_plans_final/yaml/C02-L05_有理数乘法法则.yml,output/lesson_plans_final/tex/C02-L05_有理数乘法法则_教案_v2.tex,output/lesson_plans_final/pdf/C02-L05_有理数乘法法则_教案_v2.pdf,4,45,0,13,generated,380FC7A67CDDD3E9D48D1DEC7FF6205CB82D8A33908A05DAE4B1425CC8003768
C02-L06,第二章 有理数的运算,多个有理数相乘与乘法运算律,运算技能课,output/lesson_plans_final/yaml/C02-L06_多个有理数相乘与乘法运算律.yml,output/lesson_plans_final/tex/C02-L06_多个有理数相乘与乘法运算律_教案_v2.tex,output/lesson_plans_final/pdf/C02-L06_多个有理数相乘与乘法运算律_教案_v2.pdf,4,45,0,13,generated,9EC61102F722B525C2AB6FF64D7C3EC59E58CA8DE6B950068899AA3ED56788E2
