file,slide_count,width_in,height_in,notes_slides,text_runs,issue_count
dist\ppt_revised\第一章\1.1 正数和负数.pptx,13,13.33,7.5,13,204,0
dist\ppt_revised\第一章\1.2 有理数及其大小比较.pptx,20,13.33,7.5,20,337,0
dist\ppt_revised\第三章\3.1.pptx,12,13.33,7.5,12,166,0
dist\ppt_revised\第三章\3.2.pptx,12,13.33,7.5,12,182,0
dist\ppt_revised\第二章\2.1.pptx,13,13.33,7.5,13,215,0
dist\ppt_revised\第二章\2.2.pptx,14,13.33,7.5,14,248,0
dist\ppt_revised\第二章\2.3.pptx,15,13.33,7.5,15,254,0
dist\ppt_revised\第五章\5.1.pptx,16,13.33,7.5,16,234,0
dist\ppt_revised\第五章\5.2.pptx,12,13.33,7.5,12,201,0
dist\ppt_revised\第五章\5.3.pptx,11,13.33,7.5,11,149,0
dist\ppt_revised\第六章\6.1.pptx,14,13.33,7.5,14,137,0
dist\ppt_revised\第六章\6.2.pptx,12,13.33,7.5,12,203,0
dist\ppt_revised\第六章\6.3.pptx,15,13.33,7.5,15,230,0
dist\ppt_revised\第六章\6.4.pptx,11,13.33,7.5,11,162,0
dist\ppt_revised\第四章\4.1.pptx,13,13.33,7.5,13,273,0
dist\ppt_revised\第四章\4.2.pptx,16,13.33,7.5,16,265,0
