file,slide_count,width_in,height_in,notes_slides,text_runs,issue_count
郭立华2026秋数学PPT\第一章\1.1 正数和负数.pptx,13,13.33,7.5,13,237,0
郭立华2026秋数学PPT\第一章\1.2 有理数及其大小比较.pptx,20,13.33,7.5,20,412,3
郭立华2026秋数学PPT\第三章\3.1.pptx,12,13.33,7.5,12,195,2
郭立华2026秋数学PPT\第三章\3.2.pptx,12,13.33,7.5,12,207,3
郭立华2026秋数学PPT\第二章\2.1.pptx,13,13.33,7.5,13,270,1
郭立华2026秋数学PPT\第二章\2.2.pptx,14,13.33,7.5,14,268,3
郭立华2026秋数学PPT\第二章\2.3.pptx,11,13.33,7.5,11,249,2
郭立华2026秋数学PPT\第五章\5.1.pptx,12,13.33,7.5,12,242,18
郭立华2026秋数学PPT\第五章\5.2.pptx,12,13.33,7.5,12,237,2
郭立华2026秋数学PPT\第五章\5.3.pptx,11,13.33,7.5,11,185,0
郭立华2026秋数学PPT\第六章\6.1.pptx,14,13.33,7.5,14,157,2
郭立华2026秋数学PPT\第六章\6.2.pptx,12,13.33,7.5,12,187,4
郭立华2026秋数学PPT\第六章\6.3.pptx,12,13.33,7.5,12,253,2
郭立华2026秋数学PPT\第六章\6.4.pptx,11,13.33,7.5,11,165,1
郭立华2026秋数学PPT\第四章\4.1.pptx,13,13.33,7.5,13,319,1
郭立华2026秋数学PPT\第四章\4.2.pptx,16,13.33,7.5,16,308,3
