file,slide,issue_type,detail
郭立华2026秋数学PPT\第一章\1.2 有理数及其大小比较.pptx,1,object_out_of_bounds,"x=-508000, y=5334000, cx=1778000, cy=1778000"
郭立华2026秋数学PPT\第一章\1.2 有理数及其大小比较.pptx,1,object_out_of_bounds,"x=10160000, y=-762000, cx=2286000, cy=2286000"
郭立华2026秋数学PPT\第一章\1.2 有理数及其大小比较.pptx,20,forbidden_Pxx,谢谢观看！ 今日课后任务  完成教材 Pxx 页 练习题 1、2、3，尝试用今天学到的有理数知识解决生活中的简单计算问题。
郭立华2026秋数学PPT\第三章\3.1.pptx,1,object_out_of_bounds,"x=10541000, y=-635000, cx=1778000, cy=1778000"
郭立华2026秋数学PPT\第三章\3.1.pptx,1,object_out_of_bounds,"x=-889000, y=5207000, cx=2286000, cy=2286000"
郭立华2026秋数学PPT\第三章\3.2.pptx,7,forbidden_latex_frac,例2：注意符号和运算顺序！ 题目： 已知代数式 \(a^2 - \frac{b}{a}\)，请根据以下两组数值分别计算其结果：  (1) \(a = 4\
郭立华2026秋数学PPT\第三章\3.2.pptx,7,forbidden_latex_inline_open,例2：注意符号和运算顺序！ 题目： 已知代数式 \(a^2 - \frac{b}{a}\)，请根据以下两组数值分别计算其结果：  (
郭立华2026秋数学PPT\第三章\3.2.pptx,7,forbidden_latex_inline_close,注意符号和运算顺序！ 题目： 已知代数式 \(a^2 - \frac{b}{a}\)，请根据以下两组数值分别计算其结果：  (1) \(a = 4\)，\(b = 
郭立华2026秋数学PPT\第二章\2.1.pptx,1,object_out_of_bounds,"x=10922000, y=-508000, cx=1524000, cy=1524000"
郭立华2026秋数学PPT\第二章\2.2.pptx,1,forbidden_XXX,有理数的乘法与除法 探索数字世界的奥秘 主讲人：XXX | 七年级数学上册 · 核心素养课
郭立华2026秋数学PPT\第二章\2.2.pptx,14,forbidden_Pxx,2。  规律：该结论仅适用于正数，负数不成立。 03 课后作业 1. 完成教材 PXX 页 习题 2.2；  2. 重点完成第 1、2、4、6 题，注意步骤书写；  
郭立华2026秋数学PPT\第二章\2.2.pptx,14,forbidden_PXX,2。  规律：该结论仅适用于正数，负数不成立。 03 课后作业 1. 完成教材 PXX 页 习题 2.2；  2. 重点完成第 1、2、4、6 题，注意步骤书写；  
郭立华2026秋数学PPT\第二章\2.3.pptx,1,object_out_of_bounds,"x=10160000, y=-762000, cx=2286000, cy=2286000"
郭立华2026秋数学PPT\第二章\2.3.pptx,1,object_out_of_bounds,"x=-508000, y=5461000, cx=1524000, cy=1524000"
郭立华2026秋数学PPT\第五章\5.1.pptx,2,object_out_of_bounds,"x=10160000, y=-1270000, cx=3810000, cy=3810000"
郭立华2026秋数学PPT\第五章\5.1.pptx,2,object_out_of_bounds,"x=-1270000, y=5080000, cx=3175000, cy=3175000"
郭立华2026秋数学PPT\第五章\5.1.pptx,3,object_out_of_bounds,"x=9525000, y=-1270000, cx=3810000, cy=3810000"
郭立华2026秋数学PPT\第五章\5.1.pptx,3,object_out_of_bounds,"x=-635000, y=5080000, cx=2540000, cy=2540000"
郭立华2026秋数学PPT\第五章\5.1.pptx,4,object_out_of_bounds,"x=10414000, y=-762000, cx=2540000, cy=2540000"
